score_min,score_max,edge_score,score_median,total_edges,cut_edges,cut_rate,bin_left,bin_right
192.451086,192.697295,192.59162750000002,192.6080845,10,4,0.4,192.431,192.708
192.725629,192.940181,192.83251775,192.8321305,4,0,0.0,192.708,192.985
193.067734,193.21839,193.1366724,193.153588,5,0,0.0,192.985,193.263
193.315651,193.417511,193.379279,193.404675,3,0,0.0,193.263,193.54
193.570248,193.639673,193.598,193.59103950000002,4,0,0.0,193.54,193.817
193.818291,193.90957,193.86542733333332,193.868421,3,1,0.3333333333333333,193.817,194.095
194.14831,194.333336,194.2462745,194.251726,4,2,0.5,194.095,194.372
194.444261,194.574946,194.50100533333332,194.501513,6,0,0.0,194.372,194.649
194.714967,194.815105,194.765036,194.765036,2,2,1.0,194.649,194.926
194.991556,195.122648,195.0354875,195.013873,4,1,0.25,194.926,195.204
195.278402,195.473872,195.36488400000002,195.353631,4,2,0.5,195.204,195.481
195.507392,195.743082,195.64584566666667,195.6832945,6,2,0.3333333333333333,195.481,195.758
195.767017,196.004916,195.88348775,195.881009,4,1,0.25,195.758,196.035
196.093391,196.301042,196.2081,196.205232,8,2,0.25,196.035,196.313
196.359929,196.573568,196.470394375,196.4892825,8,1,0.125,196.313,196.59
196.670468,196.855872,196.78778816666667,196.8312195,6,1,0.16666666666666666,196.59,196.867
197.051114,197.114776,197.09335766666666,197.114183,3,1,0.3333333333333333,196.867,197.145
197.288558,197.296595,197.2925765,197.2925765,2,0,0.0,197.145,197.422
197.444646,197.688097,197.54351416666668,197.53810249999998,6,1,0.16666666666666666,197.422,197.699
197.699176,197.913757,197.839006125,197.840626,8,1,0.125,197.699,197.976
198.045415,198.210293,198.15444166666666,198.207617,3,0,0.0,197.976,198.254
198.261399,198.489752,198.36188771428573,198.361155,7,2,0.2857142857142857,198.254,198.531
198.585934,198.78367,198.6888995,198.692997,4,1,0.25,198.531,198.808
198.964624,198.975096,198.97160533333332,198.975096,3,0,0.0,198.808,199.086
199.113399,199.271606,199.173305,199.1541075,4,0,0.0,199.086,199.363
199.430158,199.586222,199.5034506,199.504721,5,2,0.4,199.363,199.64
199.697968,199.875845,199.81197233333333,199.829272,6,0,0.0,199.64,199.917
199.988372,200.047745,200.0180585,200.0180585,2,0,0.0,199.917,200.195
200.370771,200.430155,200.400463,200.400463,2,0,0.0,200.195,200.472
200.507955,200.618196,200.56307550000002,200.56307550000002,2,0,0.0,200.472,200.749
200.946522,200.974808,200.960665,200.960665,2,1,0.5,200.749,201.026
201.089203,201.106241,201.09872533333336,201.100732,3,0,0.0,201.026,201.304
201.399893,201.40118,201.4005365,201.4005365,2,0,0.0,201.304,201.581
201.583838,201.761931,201.7007194,201.718817,5,2,0.4,201.581,201.858
201.916227,202.114687,202.049975,202.078387,6,2,0.3333333333333333,201.858,202.136
202.175895,202.191641,202.183768,202.183768,2,2,1.0,202.136,202.413
202.445563,202.553827,202.4928925,202.490608,6,0,0.0,202.413,202.69
202.724298,202.942031,202.85378966666667,202.886631,6,1,0.16666666666666666,202.69,202.967
202.968131,203.231338,203.123975,203.136873,5,2,0.4,202.967,203.245
203.396812,203.44489,203.41980366666667,203.417709,3,1,0.3333333333333333,203.245,203.522
203.537322,203.762769,203.65490799999998,203.66735749999998,6,1,0.16666666666666666,203.522,203.799
203.816286,203.816286,203.816286,203.816286,1,0,0.0,203.799,204.077
204.255728,204.255728,204.255728,204.255728,1,0,0.0,204.077,204.354
204.439502,204.579679,204.53248166666665,204.578264,3,1,0.3333333333333333,204.354,204.631
204.684181,204.886081,204.7842044,204.774089,5,2,0.4,204.631,204.908
205.016054,205.065883,205.04096850000002,205.04096850000002,2,1,0.5,204.908,205.186
205.265554,205.265554,205.265554,205.265554,1,0,0.0,205.186,205.463
205.532223,205.64992,205.574257,205.540628,3,0,0.0,205.463,205.74
205.753911,205.986853,205.8748698,205.86603,5,1,0.2,205.74,206.017
